datetime,product_id,qty,price,customer_id,promotion_id,store_id,po_id
2025-01-01 08:06:00,P1003,1,15.0,C2009,,S02,
2025-01-01 08:32:00,P1000,2,7.0,C2014,,S01,
2025-01-01 08:36:00,P1001,2,6.0,C2020,,S01,
2025-01-01 08:37:00,P1000,4,7.0,C2012,,S02,
2025-01-01 08:41:00,P1003,3,15.0,C2020,,S01,
2025-01-01 08:42:00,P1004,1,45.0,C2015,,S02,
2025-01-01 08:54:00,P1000,6,7.0,C2001,,S02,
2025-01-01 08:58:00,P1002,2,12.0,,,S02,
2025-01-01 08:58:00,P1000,1,7.0,C2022,,S01,
2025-01-01 09:02:00,P1000,4,7.0,,,S02,
2025-01-01 09:10:00,P1002,4,12.0,C2008,,S01,
2025-01-01 09:16:00,P1007,3,8.0,C2010,,S02,
2025-01-01 09:24:00,P1001,5,6.0,C2013,,S01,
2025-01-01 09:43:00,P1006,5,120.0,C2028,,S02,
2025-01-01 09:44:00,P1005,6,55.0,C2007,,S02,
2025-01-01 09:44:00,P1000,2,7.0,,,S01,
2025-01-01 09:51:00,P1006,2,120.0,C2023,,S02,
2025-01-01 09:55:00,P1001,1,6.0,C2015,,S01,
2025-01-01 09:57:00,P1005,3,55.0,C2024,,S02,
2025-01-01 10:00:00,P1002,5,12.0,,,S02,
2025-01-01 10:10:00,P1006,6,120.0,C2021,,S02,
2025-01-01 10:26:00,P1003,5,15.0,C2000,,S02,
2025-01-01 10:28:00,P1003,2,15.0,,,S01,
2025-01-01 10:34:00,P1004,2,45.0,C2009,,S01,
2025-01-01 10:55:00,P1000,6,7.0,C2013,,S01,
2025-01-01 10:58:00,P1004,3,45.0,,,S02,
2025-01-01 11:08:00,P1002,6,12.0,,,S01,
2025-01-01 11:19:00,P1007,1,8.0,C2022,,S01,
2025-01-01 11:26:00,P1002,4,12.0,,,S01,
2025-01-01 11:26:00,P1002,2,12.0,,,S01,
2025-01-01 11:36:00,P1001,1,6.0,C2016,,S02,
2025-01-01 11:37:00,P1000,1,7.0,,,S01,
2025-01-01 11:41:00,P1001,3,6.0,,,S01,
2025-01-01 11:45:00,P1000,4,7.0,,,S02,
2025-01-01 11:48:00,P1003,5,15.0,,,S01,
2025-01-01 11:52:00,P1001,6,6.0,C2014,,S02,
2025-01-01 12:06:00,P1000,6,7.0,,,S02,
2025-01-01 12:06:00,P1008,1,35.0,C2017,,S01,
2025-01-01 12:10:00,P1008,6,35.0,,,S02,
2025-01-01 12:15:00,P1001,1,6.0,,,S01,
2025-01-01 12:27:00,P1006,1,120.0,,,S01,
2025-01-01 12:29:00,P1009,4,220.0,,,S01,
2025-01-01 12:34:00,P1001,3,6.0,C2025,,S02,
2025-01-01 12:35:00,P1002,4,12.0,,,S02,
2025-01-01 12:42:00,P1008,4,35.0,,,S01,
2025-01-01 12:50:00,P1008,2,35.0,,,S02,
2025-01-01 12:59:00,P1003,2,15.0,C2003,,S02,
2025-01-01 12:59:00,P1007,1,8.0,,,S02,
2025-01-01 13:05:00,P1001,1,6.0,C2012,,S01,
2025-01-01 13:07:00,P1000,1,7.0,C2014,,S01,
2025-01-01 13:20:00,P1003,4,15.0,C2022,,S02,
2025-01-01 13:25:00,P1003,5,15.0,C2011,,S02,
2025-01-01 13:36:00,P1007,1,8.0,C2005,,S01,
2025-01-01 13:36:00,P1002,5,12.0,C2004,,S01,
2025-01-01 13:37:00,P1000,1,7.0,,,S01,
2025-01-01 13:47:00,P1007,2,8.0,,,S02,
2025-01-01 13:57:00,P1003,6,15.0,,,S01,
2025-01-01 14:07:00,P1000,5,7.0,,,S01,
2025-01-01 14:15:00,P1007,4,8.0,C2023,,S01,
2025-01-01 14:28:00,P1003,2,15.0,,,S01,
2025-01-01 14:28:00,P1006,2,120.0,C2008,,S02,
2025-01-01 14:30:00,P1008,2,35.0,,,S02,
2025-01-01 14:40:00,P1000,5,7.0,C2014,,S01,
2025-01-01 14:48:00,P1006,4,120.0,,,S01,
2025-01-01 14:50:00,P1005,6,55.0,C2000,,S01,
2025-01-01 14:53:00,P1000,3,7.0,C2002,,S01,
2025-01-01 14:59:00,P1002,1,12.0,,,S01,
2025-01-01 15:09:00,P1003,1,15.0,,,S02,
2025-01-01 15:14:00,P1001,5,6.0,,,S01,
2025-01-01 15:17:00,P1009,1,220.0,,,S02,
2025-01-01 15:20:00,P1002,2,12.0,C2024,,S01,
2025-01-01 15:21:00,P1001,5,6.0,C2000,,S02,
2025-01-01 15:21:00,P1001,5,6.0,,,S01,
2025-01-01 15:32:00,P1000,5,7.0,,,S01,
2025-01-01 15:35:00,P1003,5,15.0,,,S01,
2025-01-01 15:44:00,P1004,6,45.0,C2005,,S02,
2025-01-01 15:45:00,P1007,1,8.0,C2015,,S01,
2025-01-01 16:02:00,P1004,5,45.0,C2012,,S01,
2025-01-01 16:04:00,P1003,1,15.0,C2018,,S02,
2025-01-01 16:12:00,P1003,5,15.0,C2021,,S02,
2025-01-01 16:21:00,P1000,2,7.0,C2008,,S02,
2025-01-01 16:24:00,P1002,2,12.0,C2007,,S02,
2025-01-01 16:40:00,P1006,6,120.0,,,S01,
2025-01-01 16:45:00,P1007,4,8.0,C2018,,S02,
2025-01-01 16:46:00,P1002,2,12.0,C2024,,S02,
2025-01-01 16:47:00,P1002,4,12.0,C2003,,S01,
2025-01-01 16:58:00,P1007,6,8.0,,,S01,
2025-01-01 16:59:00,P1009,5,220.0,,,S02,
2025-01-01 17:09:00,P1007,5,8.0,C2018,,S01,
2025-01-01 17:10:00,P1002,4,12.0,,,S02,
2025-01-01 17:14:00,P1003,3,15.0,C2000,,S02,
2025-01-01 17:16:00,P1007,2,8.0,C2006,,S02,
2025-01-01 17:16:00,P1001,6,6.0,C2002,,S02,
2025-01-01 17:24:00,P1007,3,8.0,C2018,,S02,
2025-01-01 17:25:00,P1005,3,55.0,C2012,,S01,
2025-01-01 17:26:00,P1001,4,6.0,,,S01,
2025-01-01 17:36:00,P1007,4,8.0,C2007,,S02,
2025-01-01 17:40:00,P1007,1,8.0,C2022,,S02,
2025-01-01 17:44:00,P1000,6,7.0,C2023,,S02,
2025-01-01 17:45:00,P1001,5,6.0,C2026,,S02,
2025-01-01 17:48:00,P1006,2,120.0,,,S01,
2025-01-01 18:07:00,P1009,2,220.0,C2007,,S01,
2025-01-01 18:12:00,P1002,5,12.0,C2009,,S02,
2025-01-01 18:17:00,P1001,6,6.0,,,S01,
2025-01-01 18:22:00,P1000,3,7.0,C2029,,S01,
2025-01-01 18:32:00,P1007,1,8.0,,,S02,
2025-01-01 18:40:00,P1004,4,45.0,C2003,,S01,
2025-01-01 18:45:00,P1000,3,7.0,,,S01,
2025-01-01 19:05:00,P1008,3,35.0,C2020,,S02,
2025-01-01 19:21:00,P1007,4,8.0,,,S01,
2025-01-01 19:26:00,P1006,1,120.0,C2013,,S01,
2025-01-01 19:29:00,P1001,6,6.0,C2026,,S02,
2025-01-01 19:30:00,P1001,1,6.0,C2012,,S02,
2025-01-01 19:37:00,P1002,2,12.0,C2023,,S01,
2025-01-01 19:41:00,P1007,4,8.0,,,S02,
2025-01-01 19:44:00,P1000,1,7.0,,,S01,
2025-01-01 19:51:00,P1008,1,35.0,C2026,,S02,
2025-01-01 19:52:00,P1001,5,6.0,,,S02,
2025-01-01 19:52:00,P1005,1,55.0,,,S02,
2025-01-01 19:57:00,P1006,2,120.0,C2028,,S01,
2025-01-02 08:08:00,P1000,3,7.0,,,S01,
2025-01-02 08:09:00,P1009,3,220.0,C2002,,S01,
2025-01-02 08:15:00,P1007,1,8.0,,,S01,
2025-01-02 08:20:00,P1000,4,7.0,C2018,,S01,
2025-01-02 08:28:00,P1002,4,12.0,,,S02,
2025-01-02 08:40:00,P1008,5,35.0,C2025,,S01,
2025-01-02 08:42:00,P1002,2,12.0,C2001,,S01,
2025-01-02 08:43:00,P1006,3,120.0,C2020,,S01,
2025-01-02 08:45:00,P1000,3,7.0,,,S01,
2025-01-02 08:51:00,P1000,3,7.0,C2024,,S01,
2025-01-02 08:52:00,P1001,2,6.0,C2023,,S02,
2025-01-02 08:53:00,P1003,4,15.0,,,S01,
2025-01-02 09:08:00,P1007,2,8.0,,,S01,
2025-01-02 09:12:00,P1003,5,15.0,C2024,,S02,
2025-01-02 09:16:00,P1006,1,120.0,,,S02,
2025-01-02 09:28:00,P1006,1,120.0,C2026,,S01,
2025-01-02 09:33:00,P1000,1,7.0,,,S02,
2025-01-02 09:39:00,P1000,2,7.0,,,S01,
2025-01-02 09:54:00,P1000,4,7.0,,,S02,
2025-01-02 10:07:00,P1009,4,220.0,C2028,,S01,
2025-01-02 10:24:00,P1003,6,15.0,C2006,,S02,
2025-01-02 10:25:00,P1001,6,6.0,,,S01,
2025-01-02 10:26:00,P1005,4,55.0,C2021,,S02,
2025-01-02 10:30:00,P1006,6,120.0,C2021,,S02,
2025-01-02 10:32:00,P1009,1,220.0,C2004,,S02,
2025-01-02 10:37:00,P1001,5,6.0,C2018,,S02,
2025-01-02 10:41:00,P1003,6,15.0,,,S02,
2025-01-02 10:48:00,P1000,5,7.0,C2024,,S01,
